ID,title,descr,author_ID,stock,price,currency_code,genre_ID
201,Wuthering Heights,"Wuthering Heights, Emily Brontë's only novel, was published in 1847 under the pseudonym ""Ellis Bell"". It was written between October 1845 and June 1846. Wuthering Heights and Anne Brontë's Agnes Grey were accepted by publisher Thomas Newby before the success of their sister Charlotte's novel Jane Eyre. After Emily's death, Charlotte edited the manuscript of Wuthering Heights and arranged for the edited version to be published as a posthumous second edition in 1850.",101,12,11.11,GBP,11
207,Jane Eyre,"Jane Eyre /ɛər/ (originally published as Jane Eyre: An Autobiography) is a novel by English writer Charlotte Brontë, published under the pen name ""Currer Bell"", on 16 October 1847, by Smith, Elder & Co. of London. The first American edition was published the following year by Harper & Brothers of New York. Primarily a bildungsroman, Jane Eyre follows the experiences of its eponymous heroine, including her growth to adulthood and her love for Mr. Rochester, the brooding master of Thornfield Hall. The novel revolutionised prose fiction in that the focus on Jane's moral and spiritual development is told through an intimate, first-person narrative, where actions and events are coloured by a psychological intensity. The book contains elements of social criticism, with a strong sense of Christian morality at its core and is considered by many to be ahead of its time because of Jane's individualistic character and how the novel approaches the topics of class, sexuality, religion and feminism.",107,11,12.34,GBP,11
251,The Raven,"""The Raven"" is a narrative poem by American writer Edgar Allan Poe. First published in January 1845, the poem is often noted for its musicality, stylized language, and supernatural atmosphere. It tells of a talking raven's mysterious visit to a distraught lover, tracing the man's slow fall into madness. The lover, often identified as being a student, is lamenting the loss of his love, Lenore. Sitting on a bust of Pallas, the raven seems to further distress the protagonist with its constant repetition of the word ""Nevermore"". The poem makes use of folk, mythological, religious, and classical references.",150,333,13.13,USD,16
252,Eleonora,"""Eleonora"" is a short story by Edgar Allan Poe, first published in 1842 in Philadelphia in the literary annual The Gift. It is often regarded as somewhat autobiographical and has a relatively ""happy"" ending.",150,555,14,USD,16
271,Catweazle,"Catweazle is a British fantasy television series, starring Geoffrey Bayldon in the title role, and created by Richard Carpenter for London Weekend Television. The first series, produced and directed by Quentin Lawrence, was screened in the UK on ITV in 1970. The second series, directed by David Reid and David Lane, was shown in 1971. Each series had thirteen episodes, most but not all written by Carpenter, who also published two books based on the scripts.",170,22,150,JPY,13
301,Mistborn: The Final Empire,"A street thief and a weary mentor spark a rebellion against an immortal tyrant, revealing a hard-magic system built on consuming metals.",180,48,19.99,USD,13
302,The Well of Ascension,"A fragile new government faces siege, prophecy, and political collapse as the cost of revolution comes due.",180,44,19.99,USD,13
303,The Hero of Ages,"As ash falls and the world breaks, buried truths about gods, heroes, and the prophecies that shaped history come to light.",180,41,21.99,USD,13
304,The Alloy of Law,"In a frontier-flavored industrial age, a lawman-turned-noble hunts a criminal mastermind amid firearms, railways, and Allomancy.",180,55,18.99,USD,13
305,Shadows of Self,"A copycat killer using supernatural powers threatens the city, forcing uneasy alliances and exposing manipulation at the highest levels.",180,52,18.99,USD,13
306,The Bands of Mourning,"A dangerous artifact race pulls the crew across continents, uncovering legends that refuse to stay dead.",180,46,19.99,USD,13
307,The Lost Metal,"Old enemies and new conspiracies collide as the Wax and Wayne era reaches its finale, with consequences that echo into the wider world.",180,39,22.99,USD,13
308,Mistborn: Secret History,"A behind-the-scenes novella that reframes key events of the original trilogy through the perspective of a figure who refuses to let go.",180,60,9.99,USD,13
351,The Way of Kings,"A shattered world at war produces unlikely heroes as ancient orders, living storms, and forgotten oaths return.",180,37,24.99,USD,13
352,Words of Radiance,"Old secrets and new powers surge as fractured protagonists confront the cost of truth, war, and the revival of the Knights Radiant.",180,35,24.99,USD,13
353,Edgedancer,"A nimble-edged Radiant-in-the-making protects the overlooked while unraveling a threat that slips between the cracks of power.",180,58,10.99,USD,13
354,Oathbringer,"A broken leader seeks unity against apocalypse while confronting his own past and the brutal price of redemption.",180,33,26.99,USD,13
355,Dawnshard,"A high-stakes expedition uncovers an ancient weapon and forces a reluctant traveler to step into the center of history.",180,54,11.99,USD,13
356,Rhythm of War,"Science, war, and ideology collide as the conflict escalates and the nature of power, identity, and sacrifice is tested.",180,31,26.99,USD,13
357,Wind and Truth,"The first arc of the saga reaches its climax as alliances fracture, truths harden, and vows become weapons in a final push toward survival.",180,29,27.99,USD,13
401,The Hobbit,"A comfort-seeking hobbit is pulled into a quest with dwarves and a wizard, finding courage, treasure, and a dangerous ring.",201,40,10.99,GBP,13
402,The Fellowship of the Ring,"A hobbit inherits a ring of vast evil; a fellowship forms to take it toward destruction as shadow spreads across Middle-earth.",201,35,12.99,GBP,13
403,The Two Towers,"The fellowship is broken; war ignites across realms while the ring-bearer pushes deeper into enemy land.",201,34,12.99,GBP,13
404,The Return of the King,"Allies gather for a last stand as the ring’s fate is decided and the age of kings returns.",201,33,12.99,GBP,13
405,The Silmarillion,"Mythic histories of Middle-earth: creation, ancient wars, lost jewels, and the long tragedies that shape later ages.",201,28,14.99,GBP,13
406,Unfinished Tales,"Collected narratives and lore expanding Middle-earth’s history, presented as incomplete stories and notes.",201,22,13.99,GBP,13
407,The Children of Húrin,"A tragic epic of Túrin Turambar, cursed by a dark power and driven toward ruin despite acts of heroism.",201,24,13.99,GBP,13
408,Beren and Lúthien,"The central legend of a mortal and an immortal whose love defies gods and darkness, presented through Tolkien’s evolving versions.",201,20,13.99,GBP,13
409,The Fall of Gondolin,"The hidden city’s final days and catastrophic betrayal, assembled from Tolkien’s different tellings of the legend.",201,19,13.99,GBP,13
